Model,Loss,MAE,RMSE,MAPE
Conv,0.000166,0.010265,0.012876,1.073646
LSTM,0.000567,0.017746,0.023813,1.836101
lstmresidual,0.00022,0.011367,0.014849,1.177629
LSTMCNN,0.000109,0.008101,0.010424,0.85034
Transformer,0.02184,0.133461,0.147784,13.59844
